
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/1.jpg         	이민훔                      	0.4912
demo_image/2.jpg         	섯탸긱마하터                   	0.0449
demo_image/3.jpg         	명예교수                     	0.6956
demo_image/4.jpg         	서경오                      	0.4135
demo_image/4_4.jpg       	더년                       	0.1710
demo_image/5.jpg         	섯규과띠하규                   	0.0618
demo_image/6.jpg         	우컨풉앗한보                   	0.1356
demo_image/7.jpg         	교수                       	0.9862
demo_image/8.jpg         	김영슥                      	0.6858
demo_image/9.jpg         	중우끕켬회자                   	0.1785
demo_image/10.jpg        	지호                       	0.6015
demo_image/11.jpg        	송묘제레악                    	0.6713
demo_image/12.jpg        	일무                       	1.0000
demo_image/13.jpg        	잔수조그                     	0.3894
demo_image/14.jpg        	입장쿄                      	0.3258
demo_image/15.jpg        	교수                       	0.9993
demo_image/16.jpg        	중앗띠찬갸                    	0.3916
demo_image/17.jpg        	문과대찬                     	0.8378
demo_image/18.jpg        	이습히                      	0.4628
demo_image/19.jpg        	한어연구사                    	0.9371
demo_image/20.jpg        	근퍽국안워                    	0.4052
demo_image/21.jpg        	긷얹히                      	0.3337
demo_image/22.jpg        	우리춤연구기                   	0.9405
demo_image/23.jpg        	긷씨중                      	0.6145
demo_image/24.jpg        	신남대하고                    	0.4011
demo_image/25.jpg        	탸악과                      	0.6036
demo_image/26.jpg        	강사                       	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/1.jpg         	이민효                      	0.9971
demo_image/2.jpg         	섯규과디한교                   	0.9738
demo_image/3.jpg         	몃예교수                     	0.9558
demo_image/4.jpg         	셔겄요                      	0.0990
demo_image/4_4.jpg       	긔약                       	0.3676
demo_image/5.jpg         	섯규과디한교                   	0.7002
demo_image/6.jpg         	유착돗얏한부                   	0.5464
demo_image/7.jpg         	교수                       	0.9984
demo_image/8.jpg         	김엿수                      	0.4868
demo_image/9.jpg         	줏요첬무화지                   	0.4074
demo_image/10.jpg        	제호                       	0.9563
demo_image/11.jpg        	종묘재례악                    	0.5881
demo_image/12.jpg        	일무                       	0.9986
demo_image/13.jpg        	전수조                      	0.8222
demo_image/14.jpg        	익잡친                      	0.4318
demo_image/15.jpg        	교수                       	0.9979
demo_image/16.jpg        	숫앗디한고                    	0.5018
demo_image/17.jpg        	무과대착                     	0.3958
demo_image/18.jpg        	이수회                      	0.9790
demo_image/19.jpg        	한예연구사                    	0.9806
demo_image/20.jpg        	국립국악워                    	0.9940
demo_image/21.jpg        	김역히                      	0.1076
demo_image/22.jpg        	우리죽연구가                   	0.7260
demo_image/23.jpg        	김세                       	0.4597
demo_image/24.jpg        	전낟디하고                    	0.2386
demo_image/25.jpg        	국악과                      	0.9981
demo_image/26.jpg        	강사                       	0.9991
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/1.jpg         	이민효                      	0.9888
demo_image/2.jpg         	섯규과디찬고                   	0.2149
demo_image/3.jpg         	몃예교수                     	0.9521
demo_image/4.jpg         	셔겅요                      	0.3011
demo_image/4_4.jpg       	내우                       	0.4063
demo_image/5.jpg         	섯규과디찬끄                   	0.4176
demo_image/6.jpg         	우화돗얏화부                   	0.2825
demo_image/7.jpg         	교수                       	0.9835
demo_image/8.jpg         	김엉수                      	0.5504
demo_image/9.jpg         	즛요첬무촌화지                  	0.1820
demo_image/10.jpg        	제호                       	0.9989
demo_image/11.jpg        	송묘제례악                    	0.6918
demo_image/12.jpg        	일무                       	0.9951
demo_image/13.jpg        	전수조고                     	0.8592
demo_image/14.jpg        	임장천                      	0.6430
demo_image/15.jpg        	교수                       	0.9989
demo_image/16.jpg        	슷앗디잔고                    	0.3686
demo_image/17.jpg        	뚜과대착                     	0.6296
demo_image/18.jpg        	이순회                      	0.4778
demo_image/19.jpg        	학예연구사                    	0.7383
demo_image/20.jpg        	국립국악워                    	0.9973
demo_image/21.jpg        	김엉히                      	0.1812
demo_image/22.jpg        	우리죽언구가                   	0.4014
demo_image/23.jpg        	김세종                      	0.5288
demo_image/24.jpg        	자낟대햐고                    	0.1242
demo_image/25.jpg        	국악과                      	0.9991
demo_image/26.jpg        	강사                       	0.9990
